Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466591657882417485 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591657882417492 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591658190343730 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591658190343730 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591658542343460 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591658542343467 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591658922234088 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591658922234088 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591659250271432 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591659250271439 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591659546207666 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591659546207666 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591659842208586 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591659842208586 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591660150206670 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591660150206670 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591660450158871 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591660450158879 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591660762325152 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591660762325152 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591661102314583 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591661102314583 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591661422313235 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591661422313250 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591661742155693 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591661742155700 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591662054148703 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591662054148703 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591662366136968 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591662366136975 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591662682203300 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591662682203300 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591662974161036 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591662974161036 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591663286149688 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591663286149695 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591663618142411 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591663618142411 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591663942226380 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591663942226387 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591664254220947 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591664254220947 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591664574077248 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591664574077256 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591664902099579 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591664902099579 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591665226092092 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591665226092100 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591665566133253 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591665566133253 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591665878123030 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591665878123037 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591666194061294 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591666194061294 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591666510068677 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591666510068677 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591666806039758 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591666806039758 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591667110151268 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591667110151268 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591667426080368 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591667426080375 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591667742118053 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591667742118053 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591668074072957 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591668074072964 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591668398052386 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591668398052394 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591668734086319 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591668734086319 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591669041960544 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591669041960544 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591669361953549 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591669361953549 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591669702027827 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591669702027827 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591670025947429 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591670025947429 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591670353947840 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591670353947848 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591670673938833 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591670673938833 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591670993927195 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591670993927203 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591671313904292 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591671313904300 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591671629850760 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591671629850767 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591671945992402 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591671945992402 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591672285788282 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591672285788290 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591672617972791 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591672617972798 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591672937839575 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591672937839575 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591673277802146 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591673277802154 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591673585795149 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591673585795156 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591673909785650 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591673909785658 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591674229816883 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591674229816883 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591674549864657 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591674549864657 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591674861793793 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591674861793801 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591675197785809 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591675197785817 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591675525777272 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591675525777272 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591675857819490 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591675857819497 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591676193758167 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591676193758167 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591676517805658 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591676517805665 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591676837797820 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591676837797820 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591677201730072 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591677201730072 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591677549719266 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591677549719274 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591677873704761 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591677873704768 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591678209749668 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591678209749668 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591678529739946 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591678529739946 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591678873679608 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591678873679608 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591679209666170 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591679209666177 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591679529710605 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591679529710605 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591679857698962 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591679857698969 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591680193688876 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591680193688884 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591680497619256 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591680497619256 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591680841586410 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591680841586410 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591681181567333 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591681181567341 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591681497652418 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591681497652418 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591681821575418 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591681821575418 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591682133577123 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466591682133577130 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591682457653827 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466591682457653827 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
