Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466527722618327260 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527722618327274 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527722938400425 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527722938400447 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527723266305662 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527723266305677 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527723602287746 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527723602287761 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527723930371530 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527723930371545 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527724258352972 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527724258352994 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527724578402280 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527724578402295 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527724890346691 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527724890346705 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527725210262551 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527725210262566 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527725526321597 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527725526321619 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527725846221573 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527725846221588 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527726174250371 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527726174250386 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527726486293844 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527726486293867 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527726806229986 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527726806230008 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527727114277623 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527727114277645 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527727422323018 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527727422323040 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527727746204614 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527727746204636 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527728074266687 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527728074266701 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527728394158363 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527728394158378 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527728702148519 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527728702148541 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527729026135526 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527729026135548 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527729354119114 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527729354119129 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527729690186090 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527729690186113 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527730034100882 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527730034100897 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527730382098995 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527730382099017 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527730710157178 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527730710157193 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527731054068669 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527731054068684 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527731402027197 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527731402027212 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527731730048000 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527731730048023 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527732066128693 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527732066128715 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527732394063800 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527732394063815 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527732722029708 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527732722029730 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527733058015398 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527733058015413 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527733398111112 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527733398111134 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527733730031877 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527733730031892 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527734066011615 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527734066011637 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527734378003075 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527734378003098 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527734693994656 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527734693994671 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527735017987638 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527735017987653 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527735342056781 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527735342056795 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527735661921530 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527735661921545 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527735982059165 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527735982059180 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527736302000820 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527736302000835 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527736625980459 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527736625980481 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527736953977555 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527736953977569 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527737273965857 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527737273965880 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527737605884119 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527737605884142 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527737965883918 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527737965883933 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527738297945782 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527738297945804 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527738609934061 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527738609934076 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527738917977049 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527738917977072 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527739253933742 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527739253933757 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527739577959090 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527739577959112 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527739901895232 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527739901895254 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527740221817590 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527740221817605 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527740545828185 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527740545828200 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527740865919083 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527740865919105 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527741193787164 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527741193787187 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527741521776117 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527741521776139 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527741845745608 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527741845745638 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527742193773038 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527742193773061 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527742529764696 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527742529764719 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527742861689686 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527742861689709 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527743197744697 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527743197744712 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527743525693051 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527743525693073 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527743861686788 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527743861686803 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527744193677172 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527744193677186 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527744529692888 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527744529692903 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527744853656210 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527744853656224 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527745189643912 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527745189643934 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527745489647500 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527745489647530 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527745829623453 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527745829623468 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527746165649108 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527746165649123 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527746505702935 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527746505702957 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527746833620168 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527746833620190 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527747173678860 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527747173678882 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466527747501675516 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466527747501675531 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
