Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466689714513612270 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689714513612270 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689714965595506 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689714965595506 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689715385580658 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689715385580658 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689715797562852 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689715797562852 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689716197547666 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689716197547674 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689716593530818 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689716593530818 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689716985517658 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689716985517658 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689717401500970 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689717401500970 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689717793486535 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689717793486542 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689718233471728 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689718233471728 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689718605454981 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689718605454981 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689719037437573 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689719037437580 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689719441422574 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689719441422574 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689719857407525 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689719857407525 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689720429398655 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689720429398655 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689720841373033 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689720841373033 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689721289355874 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689721289355881 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689721717339627 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689721717339627 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689722141321696 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689722141321696 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689722553311169 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689722553311169 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689723033290579 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689723033290579 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689723417271390 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689723417271390 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689723805257514 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689723805257514 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689724185247011 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689724185247011 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689724593229658 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689724593229658 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689724965213343 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689724965213350 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689725381196975 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689725381196975 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689725753182440 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689725753182440 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689726165167659 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689726165167659 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689726573150582 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689726573150590 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689726973136380 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689726973136380 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689727353122033 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689727353122040 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689727757107153 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689727757107160 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689728157092496 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689728157092496 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689728577075563 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689728577075570 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689728945066869 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689728945066869 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689729401045158 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689729401045158 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689729781028658 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689729781028658 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689730157013528 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689730157013528 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689730553001768 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689730553001776 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689730948983475 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689730948983475 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689731344969131 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689731344969138 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689731740953922 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689731740953922 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689732144939862 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689732144939862 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689732552922889 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689732552922897 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689732924908719 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689732924908719 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689733296894058 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689733296894058 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689733696879886 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689733696879886 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689734084864452 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689734084864452 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689734532846890 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689734532846890 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689734892831921 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689734892831921 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689735280819736 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689735280819743 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689735680803038 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689735680803038 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689736060787804 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689736060787804 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689736464773297 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689736464773297 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689736844760753 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689736844760753 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689737280744336 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689737280744336 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689737696727156 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689737696727156 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689738112712204 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689738112712204 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689738524693228 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689738524693228 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689738896680258 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689738896680265 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689739292664766 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689739292664773 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689739740649431 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689739740649439 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689740108633764 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689740108633764 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689740504616945 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689740504616945 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689740888603433 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689740888603433 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689741312588788 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689741312588796 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689741704573012 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689741704573012 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689742084558255 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689742084558263 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689742492543123 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689742492543131 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689742892528340 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689742892528347 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689743308510631 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689743308510631 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689743696495905 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689743696495905 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689744116481475 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689744116481475 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689744500464223 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689744500464223 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689744944449886 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689744944449886 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466689745360432207 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466689745360432207 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
