Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466690992356759987 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690992356759987 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690992800741814 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690992800741821 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690993212730564 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690993212730564 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690993628707312 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690993628707312 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690994028693281 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690994028693288 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690994400678507 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690994400678507 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690994804665215 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690994804665222 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690995208648271 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690995208648271 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690995588633947 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690995588633947 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690995992615759 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690995992615766 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690996376603856 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690996376603864 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690996792586624 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690996792586624 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690997208572290 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690997208572290 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690997616554275 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690997616554275 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690998008540272 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690998008540272 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690998392524674 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690998392524674 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690998800507761 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690998800507768 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690999240496128 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466690999240496136 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690999628477051 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466690999628477051 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691000068461298 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691000068461298 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691000476444043 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691000476444050 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691000904429413 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691000904429413 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691001332411512 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691001332411512 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691001760394982 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691001760394982 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691002200379729 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691002200379736 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691002600364565 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691002600364565 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691003016346164 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691003016346164 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691003456330694 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691003456330694 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691003876314900 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691003876314900 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691004296296171 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691004296296179 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691004704281821 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691004704281821 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691005144265189 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691005144265189 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691005580248191 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691005580248199 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691006072230122 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691006072230122 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691006452215313 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691006452215313 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691006864201359 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691006864201359 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691007308181703 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691007308181703 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691007788166083 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691007788166083 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691008204147018 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691008204147025 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691008624131932 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691008624131932 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691009012115113 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691009012115113 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691009444102354 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691009444102361 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691009920083418 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691009920083418 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691010324066050 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691010324066057 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691010736049667 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691010736049667 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691011136034257 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691011136034257 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691011540020152 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691011540020152 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691011976002089 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691011976002097 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691012427984640 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691012427984640 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691012827970489 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691012827970489 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691013259951174 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691013259951174 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691013703935608 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691013703935608 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691014095920436 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691014095920436 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691014543903388 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691014543903388 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691015015886984 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691015015886984 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691015451868638 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691015451868638 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691015859854370 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691015859854370 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691016251837469 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691016251837469 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691016675821445 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691016675821445 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691017107806444 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691017107806444 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691017515791803 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691017515791803 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691017947773218 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691017947773218 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691018383754715 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691018383754715 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691018787739649 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691018787739656 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691019231723092 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691019231723099 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691019659706659 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691019659706659 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691020067692287 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691020067692287 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691020479675568 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691020479675568 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691020903657443 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691020903657443 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691021311641976 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691021311641976 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691021731625728 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691021731625728 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691022151612699 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691022151612699 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691022567594826 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691022567594826 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691022967578053 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691022967578060 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691023431563131 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691023431563131 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691023843545109 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691023843545109 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466691024319529965 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466691024319529965 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
