Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466687955753007531 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955753007531 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955809001438 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955809001438 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955860998436 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955860998436 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955908996626 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955908996634 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955948995254 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955948995254 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955992992296 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687955992992304 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956040990047 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956040990047 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956088989496 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956088989496 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956132988035 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956132988035 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956184984937 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956184984937 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956228984117 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956228984117 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956276981592 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956276981592 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956316979497 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956316979497 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956364978477 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956364978477 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956416977234 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956416977234 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956464975334 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956464975342 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956512972541 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956512972541 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956556970678 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956556970678 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956600970067 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956600970074 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956648968011 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956648968011 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956692966163 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956692966163 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956736963838 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956736963838 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956792962290 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956792962290 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956852959707 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956852959707 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956904958382 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956904958382 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956956955522 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687956956955522 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957000953622 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957000953622 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957060952045 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957060952045 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957112949632 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957112949632 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957156947411 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957156947411 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957216948099 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957216948099 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957268943935 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957268943943 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957320941440 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957320941440 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957364939898 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957364939898 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957408938065 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957408938065 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957460935592 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957460935592 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957500935196 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957500935204 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957544932208 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957544932208 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957588931649 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957588931649 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957640929013 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957640929020 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957684926368 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957684926368 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957736924804 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957736924804 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957788923524 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957788923524 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957836922146 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957836922146 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957884919889 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957884919896 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957940916061 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957940916061 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957988915078 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687957988915078 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958036913663 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958036913663 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958080911077 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958080911077 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958136910066 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958136910066 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958184907838 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958184907838 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958228906571 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958228906571 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958272904522 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958272904522 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958320901893 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958320901900 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958360901117 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958360901117 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958408899217 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958408899217 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958460897333 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958460897333 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958508896335 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958508896335 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958556893989 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958556893996 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958596892453 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958596892453 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958636890582 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958636890582 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958688895329 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958688895329 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958748886995 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958748887002 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958796884752 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958796884752 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958844883315 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958844883315 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958896879911 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958896879911 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958952879101 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687958952879108 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959004877157 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959004877157 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959056873910 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959056873917 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959104873001 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959104873001 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959148871548 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959148871548 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959200868748 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959200868755 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959240868106 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959240868113 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959292864724 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959292864732 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959340863510 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959340863518 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959384862303 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959384862303 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959424860395 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466687959424860395 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
