Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466695182208123132 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182208123132 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182252117827 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182252117827 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182312114886 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182312114894 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182360111430 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182360111430 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182404113180 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182404113180 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182468109183 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182468109183 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182520106159 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182520106159 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182576104618 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182576104626 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182632102042 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182632102049 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182672101989 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182672101989 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182716097041 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182716097041 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182764095127 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182764095135 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182816093347 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182816093347 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182860091082 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182860091082 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182912092015 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182912092015 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182960088267 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695182960088267 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183004086010 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183004086010 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183052083514 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183052083514 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183100082635 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183100082635 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183176081269 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183176081269 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183232077665 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183232077665 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183284075759 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183284075759 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183332074135 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183332074135 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183376071222 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183376071222 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183420070417 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183420070424 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183476068414 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183476068422 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183528066791 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183528066791 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183584064178 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183584064178 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183628061853 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183628061853 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183680060088 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183680060096 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183728058658 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183728058658 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183780058443 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183780058443 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183832053534 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183832053534 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183904052868 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183904052868 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183964048914 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695183964048914 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184028046227 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184028046227 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184096047043 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184096047051 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184140042752 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184140042752 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184188040323 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184188040323 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184236038096 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184236038096 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184288039281 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184288039281 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184340035587 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184340035587 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184388033665 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184388033665 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184432031482 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184432031482 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184472030505 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184472030505 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184512028448 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184512028448 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184556026719 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184556026719 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184608024828 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184608024828 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184672023549 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184672023549 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184720020636 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184720020644 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184768018767 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184768018767 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184812016643 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184812016643 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184864013716 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184864013716 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184916012652 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184916012652 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184968011721 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695184968011721 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185016008913 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185016008913 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185068006291 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185068006291 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185116003401 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185116003401 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185164001189 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185164001189 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185216000206 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185216000206 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185259998388 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185259998388 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185307996116 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185307996124 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185355993919 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185355993919 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185403992071 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185403992071 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185483990050 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185483990050 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185539986953 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185539986953 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185583985306 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185583985313 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185635984338 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185635984338 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185711981713 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185711981713 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185759979262 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185759979262 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185815977014 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185815977014 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185859975740 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185859975740 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185943975433 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185943975433 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185983971297 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695185983971297 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695186043967269 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695186043967269 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695186087966807 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466695186087966807 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695186131966307 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466695186131966307 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
