Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466692822126696065 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822126696065 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822166690737 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822166690737 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822222689867 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822222689867 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822266684867 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822266684867 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822330681532 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822330681532 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822374679334 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822374679341 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822426677048 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822426677048 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822466674402 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822466674402 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822518673449 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822518673449 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822566671565 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822566671565 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822618671156 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822618671156 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822662667900 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822662667900 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822726667307 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822726667307 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822774663351 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822774663351 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822822661988 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822822661988 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822874659024 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822874659031 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822914658643 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822914658643 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822966656394 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692822966656394 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823010655954 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823010655954 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823058654569 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823058654569 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823110651068 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823110651068 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823150649219 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823150649219 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823198646381 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823198646388 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823254645057 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823254645057 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823310644000 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823310644000 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823362641066 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823362641066 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823426638200 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823426638208 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823474636331 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823474636331 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823526636309 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823526636309 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823570632979 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823570632979 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823610631257 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823610631264 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823662629321 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823662629321 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823702626995 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823702626995 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823754625499 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823754625499 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823810622856 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823810622863 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823862621963 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823862621963 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823914618946 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823914618946 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823966617032 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692823966617032 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824018615871 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824018615871 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824074613697 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824074613697 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824142614915 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824142614915 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824186611071 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824186611078 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824230608992 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824230608992 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824274606764 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824274606764 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824330604977 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824330604977 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824382602140 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824382602147 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824434600301 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824434600308 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824482600405 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824482600405 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824534596517 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824534596517 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824590593300 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824590593308 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824634591944 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824634591951 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824678590781 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824678590781 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824726588495 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824726588495 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824790586166 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824790586173 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824834584712 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824834584720 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824882582813 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824882582813 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824926579877 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824926579885 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824970579378 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692824970579378 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825014577500 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825014577500 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825102574698 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825102574706 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825146573796 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825146573796 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825198571570 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825198571570 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825286569423 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825286569423 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825334568455 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825334568463 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825378564164 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825378564164 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825422562278 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825422562278 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825486560858 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825486560858 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825542561493 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825542561493 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825586556993 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825586556993 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825642555445 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825642555445 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825694551259 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825694551259 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825742549180 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825742549180 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825790546722 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825790546722 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825838545940 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825838545940 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825886543512 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825886543512 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825934542685 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825934542693 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825986542649 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466692825986542649 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
