Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466525947018706977 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525947018706977 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525947354698255 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525947354698255 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525947682781897 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525947682781897 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525948014702305 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525948014702305 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525948350691094 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525948350691094 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525948678748361 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525948678748361 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525949014738954 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525949014738954 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525949342729270 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525949342729270 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525949658660143 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525949658660143 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525949994661904 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525949994661904 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525950322651259 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525950322651267 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525950642552837 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525950642552837 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525950958685956 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525950958685956 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525951270619206 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525951270619206 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525951590591415 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525951590591423 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525951930600002 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525951930600002 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525952242646776 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525952242646776 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525952578697197 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525952578697197 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525952886532261 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525952886532261 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525953202562533 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525953202562533 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525953530551642 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525953530551642 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525953846505261 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525953846505269 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525954170493230 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525954170493230 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525954498602613 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525954498602613 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525954818501517 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525954818501517 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525955146560110 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525955146560110 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525955474550679 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525955474550679 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525955798564456 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525955798564456 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525956118529163 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525956118529163 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525956446515984 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525956446515984 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525956774444527 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525956774444527 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525957090446047 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525957090446047 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525957426490515 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525957426490515 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525957750484108 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525957750484108 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525958098470702 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525958098470702 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525958418367266 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525958418367266 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525958742369696 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525958742369696 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525959062468990 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525959062468998 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525959402373619 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525959402373619 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525959730424396 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525959730424404 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525960058433450 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525960058433458 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525960378445863 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525960378445863 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525960702391542 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525960702391542 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525961014449775 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525961014449775 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525961310367695 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525961310367695 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525961646357700 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525961646357700 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525961974364265 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525961974364265 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525962286369435 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525962286369442 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525962618277996 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525962618277996 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525962946377567 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525962946377567 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525963274350047 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525963274350047 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525963606361322 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525963606361329 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525963930343545 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525963930343545 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525964254314236 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525964254314236 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525964590328983 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525964590328983 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525964914313152 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525964914313152 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525965234175875 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525965234175875 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525965562247484 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525965562247484 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525965882184073 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525965882184073 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525966210295490 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525966210295490 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525966518172055 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525966518172062 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525966850227944 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525966850227952 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525967174261346 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525967174261346 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525967506192177 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525967506192177 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525967818152919 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525967818152919 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525968162078633 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525968162078641 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525968498095721 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525968498095721 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525968818177193 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525968818177193 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525969138145297 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525969138145297 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525969466135688 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525969466135695 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525969786071307 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525969786071307 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525970122063174 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525970122063174 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525970446110121 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525970446110121 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525970770096920 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525970770096920 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525971098035283 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525971098035283 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525971418013520 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466525971418013520 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525971742089591 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466525971742089591 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
