Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466526951621219657 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526951621219657 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526951957163281 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526951957163281 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526952253100723 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526952253100723 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526952601068302 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526952601068302 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526952905075803 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526952905075803 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526953249050535 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526953249050535 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526953565161988 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526953565161988 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526953885008223 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526953885008223 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526954213091261 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526954213091269 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526954537081912 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526954537081912 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526954861081399 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526954861081399 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526955180978253 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526955180978253 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526955509053975 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526955509053975 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526955833106435 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526955833106435 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526956145036049 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526956145036049 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526956469027683 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526956469027683 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526956788917146 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526956788917146 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526957100911363 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526957100911363 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526957405056945 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526957405056945 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526957708892315 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526957708892315 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526958052978187 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526958052978195 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526958372948773 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526958372948780 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526958684889227 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526958684889227 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526959008863158 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526959008863158 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526959337001219 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526959337001219 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526959656878285 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526959656878285 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526959968921490 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526959968921497 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526960280861832 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526960280861839 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526960596849136 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526960596849143 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526960916796825 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526960916796825 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526961224782571 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526961224782571 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526961536765933 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526961536765940 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526961844927988 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526961844927988 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526962168855726 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526962168855726 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526962496789470 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526962496789470 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526962808781817 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526962808781817 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526963124757252 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526963124757260 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526963424721159 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526963424721166 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526963752867370 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526963752867378 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526964072744607 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526964072744607 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526964392737679 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526964392737686 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526964712778851 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526964712778851 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526965036769151 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526965036769151 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526965360755532 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526965360755532 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526965680681288 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526965680681288 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526965992672950 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526965992672950 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526966304637446 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526966304637446 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526966632770225 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526966632770225 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526966956713221 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526966956713229 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526967280704177 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526967280704185 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526967608597300 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526967608597300 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526967960563883 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526967960563883 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526968272578783 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526968272578783 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526968584612943 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526968584612943 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526968896655485 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526968896655485 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526969200647614 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526969200647622 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526969528603456 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526969528603456 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526969836688376 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526969836688376 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526970156583450 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526970156583450 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526970472667224 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526970472667224 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526970800544068 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526970800544068 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526971120590411 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526971120590418 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526971432591363 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526971432591363 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526971744573503 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526971744573511 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526972056621104 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526972056621104 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526972392553359 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526972392553359 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526972716543205 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526972716543205 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526973036482490 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526973036482498 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526973376581408 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526973376581408 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526973696418538 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526973696418538 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526974012504577 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526974012504585 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526974336498051 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526974336498051 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526974656417623 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526974656417623 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526974968380965 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526974968380965 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526975280370920 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526975280370920 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526975560459643 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466526975560459643 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526975872399896 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466526975872399903 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
