Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466608254577045448 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608254577045455 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608254901031784 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608254901031784 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608255220929019 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608255220929019 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608255561053723 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608255561053723 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608255889003656 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608255889003664 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608256200995244 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608256200995244 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608256520929299 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608256520929299 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608256856975771 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608256856975778 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608257180824615 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608257180824615 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608257508956722 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608257508956722 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608257828895084 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608257828895084 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608258152941010 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608258152941010 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608258476873695 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608258476873695 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608258804921336 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608258804921343 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608259132815822 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608259132815830 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608259444852024 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608259444852031 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608259780836306 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608259780836306 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608260108824230 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608260108824230 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608260444871075 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608260444871082 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608260776773065 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608260776773065 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608261072840273 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608261072840273 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608261388757370 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608261388757377 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608261700747244 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608261700747244 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608262012740090 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608262012740097 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608262324732244 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608262324732244 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608262652804337 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608262652804337 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608262968845456 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608262968845456 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608263284783311 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608263284783311 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608263604835882 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608263604835882 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608263916757278 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608263916757285 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608264224816665 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608264224816665 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608264544706895 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608264544706895 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608264864743880 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608264864743880 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608265172785162 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608265172785162 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608265500713989 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608265500713989 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608265812716484 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608265812716484 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608266124752879 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608266124752879 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608266432754173 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608266432754181 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608266744734212 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608266744734220 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608267044599980 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608267044599980 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608267348604902 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608267348604902 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608267656707055 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608267656707055 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608267964666791 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608267964666791 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608268276559427 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608268276559427 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608268584625296 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608268584625296 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608268904620230 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608268904620230 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608269224552072 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608269224552087 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608269540660634 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608269540660634 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608269848542243 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608269848542250 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608270152640596 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608270152640596 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608270464523918 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608270464523926 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608270764615692 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608270764615692 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608271064616821 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608271064616821 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608271376608006 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608271376608006 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608271696488276 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608271696488276 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608272012449018 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608272012449018 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608272324580162 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608272324580162 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608272628447793 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608272628447793 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608272936391957 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608272936391964 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608273248508282 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608273248508282 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608273548541285 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608273548541285 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608273868415057 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608273868415065 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608274176452130 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608274176452130 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608274484503701 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608274484503701 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608274788467675 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608274788467682 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608275100393690 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608275100393690 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608275420476794 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608275420476801 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608275744332835 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608275744332835 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608276044316604 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608276044316604 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608276368319690 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608276368319690 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608276668343752 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608276668343760 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608276988303266 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608276988303266 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608277300323821 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608277300323821 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608277604422003 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608277604422003 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608277896322324 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608277896322324 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608278216298349 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608278216298349 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466608278536290615 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466608278536290615 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
