Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466514473030887603 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473030887626 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473070885129 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473070885151 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473110879704 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473110879726 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473150876201 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473150876216 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473190821073 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473190821088 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473230824030 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473230824045 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473270823277 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473270823307 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473310815572 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473310815595 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473350867077 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473350867092 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473390817672 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473390817686 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473430812805 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473430812820 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473470811873 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473470811888 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473510817326 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473510817348 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473550811074 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473550811089 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473590809695 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473590809710 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473630810178 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473630810193 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473670807749 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473670807771 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473710807241 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473710807256 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473750772714 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473750772736 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473790823094 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473790823109 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473830807454 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473830807477 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473870806261 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473870806276 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473910852350 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473910852372 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473950800254 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473950800269 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473990800641 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514473990800663 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474030796863 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474030796885 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474070797093 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474070797123 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474110810950 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474110810972 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474150792486 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474150792501 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474190793290 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474190793305 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474230807535 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474230807557 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474270790785 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474270790807 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474310789592 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474310789614 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474350791327 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474350791350 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474390786305 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474390786319 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474430838860 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474430838875 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474470892012 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474470892027 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474510888196 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474510888218 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474550833784 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474550833806 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474590782210 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474590782225 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474630781188 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474630781210 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474670778274 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474670778296 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474710788115 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474710788130 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474750805705 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474750805720 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474790792725 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474790792740 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474830734215 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474830734230 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474870827570 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474870827585 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474910825952 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474910825975 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474950750939 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474950750954 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474990821093 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514474990821115 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475030767314 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475030767336 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475070725619 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475070725634 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475110764659 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475110764674 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475150777332 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475150777347 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475190721519 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475190721534 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475230760961 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475230760976 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475270762175 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475270762190 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475310718044 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475310718059 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475350757516 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475350757539 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475390757203 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475390757225 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475430716767 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475430716790 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475470755867 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475470755882 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475510754451 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475510754473 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475550710588 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475550710611 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475590804569 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475590804591 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475630804277 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475630804292 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475670706927 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475670706950 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475710750050 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475710750073 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475750749960 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475750749982 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475790715582 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475790715597 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475830744273 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475830744288 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475870747089 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475870747111 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475910699851 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475910699874 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475950740300 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475950740322 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475990739293 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514475990739315 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514476030721567 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514476030721589 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466514476070790737 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466514476070790760 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
