Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466505035694785177 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035694785177 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035734729789 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035734729789 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035774733267 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035774733275 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035814730174 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035814730174 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035854738436 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035854738436 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035890725582 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035890725582 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035930734753 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035930734753 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035970736138 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505035970736138 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036010769709 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036010769709 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036050736278 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036050736278 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036090685777 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036090685777 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036126678325 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036126678325 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036166719824 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036166719824 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036206715054 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036206715054 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036246673457 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036246673457 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036286725692 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036286725692 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036326713025 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036326713025 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036366678699 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036366678699 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036406719021 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036406719021 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036446754075 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036446754075 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036486675649 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036486675649 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036526706278 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036526706278 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036566707573 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036566707573 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036606664188 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036606664195 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036646703235 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036646703235 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036686702825 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036686702832 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036726660400 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036726660400 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036766743354 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036766743354 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036806745588 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036806745596 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036846656545 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036846656545 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036886695943 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036886695943 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036926697365 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036926697365 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036966652311 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505036966652311 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037006693102 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037006693102 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037042692579 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037042692579 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037082744747 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037082744754 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037122647680 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037122647687 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037162732996 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037162732996 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037202732868 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037202732868 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037242644913 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037242644913 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037278643354 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037278643362 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037318683058 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037318683058 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037358686804 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037358686804 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037398656480 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037398656480 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037438679121 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037438679121 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037478679217 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037478679217 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037518635965 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037518635965 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037558720692 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037558720692 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037598721466 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037598721474 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037638635106 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037638635113 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037678672656 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037678672656 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037718671008 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037718671008 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037758628480 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037758628480 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037798669219 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037798669226 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037838713854 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037838713854 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037878625355 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037878625355 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037918709039 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037918709039 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037958666279 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037958666279 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037998630307 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505037998630307 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038038619711 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038038619711 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038078661054 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038078661054 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038118617534 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038118617542 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038158715397 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038158715397 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038198759913 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038198759920 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038238657362 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038238657362 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038278705209 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038278705209 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038318656310 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038318656310 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038358612783 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038358612790 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038398694716 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038398694716 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038438650049 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038438650056 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038478631749 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038478631749 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038526692539 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038526692539 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038574629552 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038574629560 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038614696793 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038614696793 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038654698871 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038654698871 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038694643191 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038694643191 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038734693475 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466505038734693482 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
