Timeout=1200secsRounded up from 80000000B to 80003072B (76MB)
Touching memory...Done.
Opening /dev/dag0
Using debug dump
ERF [ts:0x1466506995208595320 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995208595320 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995248529240 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995248529240 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995288571253 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995288571253 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995328568354 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995328568354 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995368535280 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995368535287 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995408634789 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995408634796 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995448568537 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995448568537 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995488525867 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995488525867 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995528564594 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995528564602 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995568562231 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995568562231 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995608521267 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995608521267 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995648561857 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995648561857 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995684516727 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995684516735 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995724558442 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995724558442 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995764515995 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995764516003 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995804599069 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995804599076 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995844554133 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995844554133 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995884511381 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995884511381 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995924552492 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995924552492 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995972603268 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506995972603276 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996012554228 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996012554228 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996052510961 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996052510961 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996092548429 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996092548429 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996132595986 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996132595986 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996196502573 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996196502573 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996236617729 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996236617729 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996276598371 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996276598371 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996316523447 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996316523447 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996356643214 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996356643222 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996396542608 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996396542608 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996436505265 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996436505272 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996476533629 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996476533636 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996516584016 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996516584016 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996556515239 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996556515239 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996596586167 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996596586167 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996636577568 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996636577568 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996676488779 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996676488779 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996716527447 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996716527454 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996756573721 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996756573721 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996796485245 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996796485252 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996836524620 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996836524620 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996876526229 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996876526229 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996916481159 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996916481159 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996956519030 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996956519030 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996996520020 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506996996520020 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997036456987 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997036456987 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997072478815 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997072478823 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997112516909 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997112516909 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997152518071 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997152518071 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997192472748 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997192472748 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997232484586 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997232484586 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997272567473 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997272567473 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997312495462 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997312495462 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997352509774 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997352509774 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997392512775 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997392512775 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997432464674 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997432464681 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997472549632 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997472549632 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997512552142 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997512552142 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997552462175 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997552462175 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997616462320 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997616462320 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997656460098 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997656460098 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997696465760 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997696465760 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997732458904 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997732458904 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997772503793 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997772503800 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997812499977 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997812499985 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997852498017 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997852498024 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997892494238 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997892494238 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997932453878 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997932453885 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997972457833 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506997972457841 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998012352205 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998012352205 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998044448472 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998044448472 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998080454014 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998080454014 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998120442882 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998120442889 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998160441488 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998160441488 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998216493859 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998216493859 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998256489798 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998256489798 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998296444013 tp:0x02 fl[01][0x01] rl:96 lc:0 wl:64]
ERF [ts:0x1466506998296444013 tp:0x02 fl[00][0x00] rl:96 lc:0 wl:64]
